service_id,date,exception_type
D_V40,20180716,1
L_V40,20180716,2
D_V40,20180815,1
L_V40,20180815,2
D_V40,20180917,1
L_V40,20180917,2
D_V40,20180918,1
L_V40,20180918,2
D_V40,20180919,1
L_V40,20180919,2
D_V40,20181015,1
L_V40,20181015,2
D_V40,20181101,1
L_V40,20181101,2
D_V40,20181102,1
L_V40,20181102,2
D_V40,20181225,1
L_V40,20181225,2
