route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
G15,TS,G15,(M) LA CISTERNA - SANTO TOMAS,,3,,0067AC,FFFFFF
G16,TS,G16,(M) LA CISTERNA - LO BLANCO,,3,,0067AC,FFFFFF
G18,TS,G18,SANTA ROSA P. 30 - (M) LO OVALLE,,3,,0067AC,FFFFFF
G22,TS,G22,VILLA ESPANA (M) LA CISTERNA,,3,,0067AC,FFFFFF
H02,TS,H02,(M) CARLOS VALDOVINOS - (M) LO VIAL ,,3,,00B33C,FFFFFF
H03,TS,H03,(M) LO OVALLE - MALL PLAZA OESTE,,3,,00B33C,FFFFFF
H04,TS,H04,(M) CARLOS VALDOVINOS  -  LA VICTORIA,,3,,00B33C,FFFFFF
H05,TS,H05,(M) CARLOS VALDOVINOS - POBL. DAVILA,,3,,00B33C,FFFFFF
H05c,TS,H05c,POBL. DAVILA - (M) DEPARTAMENTAL,,3,,00B33C,FFFFFF
H06,TS,H06,POBL. LAS TURBINAS - AV. MATTA,,3,,00B33C,FFFFFF
H07,TS,H07,(M) NUBLE  - (M) LO OVALLE,,3,,00B33C,FFFFFF
H08,TS,H08,POBL.  LAS TURBINAS - (M) LO OVALLE,,3,,00B33C,FFFFFF
H09,TS,H09,POBL. DAVILA - (M) CARLOS VALDOVINOS,,3,,00B33C,FFFFFF
H12,TS,H12,LO ESPEJO - (M) FRANKLIN,,3,,00B33C,FFFFFF
H13,TS,H13,SANTA OLGA - POSTA CENTRAL,,3,,00B33C,FFFFFF
H14,TS,H14,MALL FLORIDA CENTER - (M) FRANKLIN,,3,,00B33C,FFFFFF
I01,TS,I01,VILLA LOS HEROES - HOSPITAL BORJA ARRIARAN,,3,,00B33C,FFFFFF
I02,TS,I02,RINCONADA - (M) LAGUNA SUR,,3,,00B33C,FFFFFF
I03,TS,I03,VILLA LOS HEROES - VILLA PORTALES,,3,,00B33C,FFFFFF
I03c,TS,I03c,VALLE VERDE - (M) SAN ALBERTO HURTADO,,3,,00B33C,FFFFFF
I04,TS,I04,VILLA EL ABRAZO - (M) SAN ALBERTO HURTADO,,3,,00B33C,FFFFFF
I04c,TS,I04c,VILLA EL ABRAZO - (M) PLAZA MAIPU,,3,,00B33C,FFFFFF
I04e,TS,I04e,VILLA EL ABRAZO - (M) PLAZA MAIPU,,3,,00B33C,FFFFFF
I05,TS,I05,RINCONADA - (M) LO OVALLE,,3,,00B33C,FFFFFF
I24,TS,I24,VILLA LOS MAITENES - PLAZA OESTE,,3,,00B33C,FFFFFF
I07,TS,I07,RINCONADA - MALL ARAUCO MAIPU,,3,,00B33C,FFFFFF
I08,TS,I08,MALL ARAUCO MAIPU - (M) SAN ALBERTO HURTADO,,3,,00B33C,FFFFFF
I08c,TS,I08c,LA FARFANA - (M) LAS REJAS,,3,,00B33C,FFFFFF
I09,TS,I09,RINCONADA - (M) ULA,,3,,00B33C,FFFFFF
I09c,TS,I09c,RINCONADA - (M) LAS REJAS,,3,,00B33C,FFFFFF
I09e,TS,I09e,RINCONADA - (M) ULA,,3,,00B33C,FFFFFF
I09v,TS,I09v,RINCONADA - (M) PLAZA MAIPU,,3,,00B33C,FFFFFF
I10,TS,I10,VILLA LOS HEROES - USACH,,3,,00B33C,FFFFFF
I11,TS,I11,CIUDAD SATELITE - (M) PLAZA MAIPU,,3,,00B33C,FFFFFF
I12,TS,I12,PUEBLITO LA FARFANA - MALL FLORIDA CENTER,,3,,00B33C,FFFFFF
I13,TS,I13,VILLA LOS PRESIDENTES - (M) SAN ALBERTO HURTADO,,3,,00B33C,FFFFFF
I14,TS,I14,MALL PLAZA OESTE - ESTACION CENTRAL,,3,,00B33C,FFFFFF
I16,TS,I16,POBLACION SANTIAGO - FERROCARRIL,,3,,00B33C,FFFFFF
I17,TS,I17,VILLA FRANCIA - HOSPITAL SAN JUAN DE DIOS,,3,,00B33C,FFFFFF
I18,TS,I18,RINCONADA - (M) ULA,,3,,00B33C,FFFFFF
I20,TS,I20,VALLE VERDE - MARTA OSSA RUIZ,,3,,00B33C,FFFFFF
I21,TS,I21,VILLA HERNAN DIAZ - (M) PLAZA MAIPU,,3,,00B33C,FFFFFF
I22,TS,I22,LA FARFANA - (M) DEL SOL,,3,,00B33C,FFFFFF
J01,TS,J01,PUDAHUEL SUR - (M) QUINTA NORMAL,,3,,00D9A3,FFFFFF
J01c,TS,J01c,(M) SAN PABLO - CARRASCAL,,3,,00D9A3,FFFFFF
J02,TS,J02,ENEA - (M) ULA,,3,,00D9A3,FFFFFF
J03,TS,J03,COSTANERA SUR - (M) REPUBLICA,,3,,00D9A3,FFFFFF
J04,TS,J04,(M) NEPTUNO - LA ALIANZA,,3,,00D9A3,FFFFFF
J05,TS,J05,COSTANERA SUR - (M) ULA,,3,,00D9A3,FFFFFF
J06,TS,J06,(M) PUDAHUEL - (M) PAJARITOS,,3,,00D9A3,FFFFFF
J07,TS,J07,NOVICIADO - (M) PUDAHUEL,,3,,00D9A3,FFFFFF
J07e,TS,J07e,NOVICIADO - (M) PUDAHUEL,,3,,00D9A3,FFFFFF
J07c,TS,J07c,(M) PUDAHUEL - LO BOZA,,3,,00D9A3,FFFFFF
J08,TS,J08,PUDAHUEL SUR  - HOSPITAL FELIX BULNES,,3,,00D9A3,FFFFFF
J08c,TS,J08c,LOS MARES  - (M) LAGUNA SUR,,3,,00D9A3,FFFFFF
J10,TS,J10,SAN DANIEL - PARQUE DE LOS REYES,,3,,00D9A3,FFFFFF
J11,TS,J11,LOMAS DE LO AGUIRRE - (M) PAJARITOS,,3,,00D9A3,FFFFFF
J12,TS,J12,(M) PAJARITOS - CIUDAD DE LOS VALLES,,3,,00D9A3,FFFFFF
J13,TS,J13,(M) ESTACION CENTRAL - COSTANERA SUR,,3,,00D9A3,FFFFFF
J13c,TS,J13c,(M) SAN PABLO - COSTANERA SUR,,3,,00D9A3,FFFFFF
J14c,TS,J14c,VILLA ROOSEVELT - PUDAHUEL SUR,,3,,00D9A3,FFFFFF
J15c,TS,J15c,LA ALIANZA - (M) NEPTUNO,,3,,00D9A3,FFFFFF
J16,TS,J16,COSTANERA SUR - (M) ESTACION CENTRAL,,3,,00D9A3,FFFFFF
J17,TS,J17,(M) PAJARITOS- PUERTO SANTIAGO,,3,,00D9A3,FFFFFF
J18,TS,J18,ENEA - (M) SAN PABLO,,3,,00D9A3,FFFFFF
J18c,TS,J18c,EL TRANQUE - (M) SAN PABLO,,3,,00D9A3,FFFFFF
J19,TS,J19,PUDAHUEL SUR - (M) SANTA ANA,,3,,00D9A3,FFFFFF
J20,TS,J20,EL MONTIJO - (M) PUDAHUEL,,3,,00D9A3,FFFFFF
L1_V18,M,,L1(San Pablo - Los Dominicos),,1,,FA0727,FFFFFF
L2_V18,M,,L2(Vespucio Norte - La Cisterna),,1,http://www.metro.cl/guia-viajero/expresol2,FFD400,000000
L4_V18,M,,L4(Tobalaba - Plaza de Puente Alto),,1,http://www.metro.cl/guia-viajero/expresol4,1A1D6A,FFFFFF
L4A_V18,M,,L4A(La Cisterna - Vicuña Mackenna),,1,,0A5FCA,000000
L5_V18,M,,L5(Plaza de Maipú - Vicente Valdés),,1,http://www.metro.cl/guia-viajero/expresol5,008A63,000000
